,data,tipo_di_quarantena,totali_tipi_quarantena
159,02/08/2020,sintomatici,84
160,03/08/2020,sintomatici,80
161,04/08/2020,sintomatici,83
162,05/08/2020,sintomatici,83
163,06/08/2020,sintomatici,129
164,07/08/2020,sintomatici,136
165,08/08/2020,sintomatici,138
166,09/08/2020,sintomatici,144
167,10/08/2020,sintomatici,147
168,11/08/2020,sintomatici,160
169,12/08/2020,sintomatici,176
170,13/08/2020,sintomatici,191
171,14/08/2020,sintomatici,195
172,15/08/2020,sintomatici,192
173,16/08/2020,sintomatici,189
174,17/08/2020,sintomatici,189
175,18/08/2020,sintomatici,190
176,19/08/2020,sintomatici,225
177,20/08/2020,sintomatici,252
178,21/08/2020,sintomatici,276
179,22/08/2020,sintomatici,278
180,23/08/2020,sintomatici,268
181,24/08/2020,sintomatici,252
182,25/08/2020,sintomatici,259
183,26/08/2020,sintomatici,285
184,27/08/2020,sintomatici,296
185,28/08/2020,sintomatici,319
186,29/08/2020,sintomatici,321
187,30/08/2020,sintomatici,311
188,31/08/2020,sintomatici,294
189,01/09/2020,sintomatici,277
190,02/09/2020,sintomatici,285
191,03/09/2020,sintomatici,292
192,04/09/2020,sintomatici,272
193,05/09/2020,sintomatici,267
194,06/09/2020,sintomatici,262
195,07/09/2020,sintomatici,260
196,08/09/2020,sintomatici,258
197,09/09/2020,sintomatici,262
198,10/09/2020,sintomatici,280
199,11/09/2020,sintomatici,280
200,12/09/2020,sintomatici,284
201,13/09/2020,sintomatici,290
202,14/09/2020,sintomatici,295
203,15/09/2020,sintomatici,221
204,16/09/2020,sintomatici,251
205,17/09/2020,sintomatici,258
206,18/09/2020,sintomatici,227
207,19/09/2020,sintomatici,219
208,20/09/2020,sintomatici,213
209,21/09/2020,sintomatici,212
210,22/09/2020,sintomatici,220
211,23/09/2020,sintomatici,229
212,24/09/2020,sintomatici,240
213,25/09/2020,sintomatici,259
214,26/09/2020,sintomatici,257
215,27/09/2020,sintomatici,266
216,28/09/2020,sintomatici,270
217,29/09/2020,sintomatici,284
218,30/09/2020,sintomatici,287
219,01/10/2020,sintomatici,292
220,02/10/2020,sintomatici,296
221,03/10/2020,sintomatici,306
222,04/10/2020,sintomatici,321
223,05/10/2020,sintomatici,324
224,06/10/2020,sintomatici,346
225,07/10/2020,sintomatici,360
226,08/10/2020,sintomatici,373
227,09/10/2020,sintomatici,415
228,10/10/2020,sintomatici,434
229,11/10/2020,sintomatici,471
230,12/10/2020,sintomatici,506
231,13/10/2020,sintomatici,541
232,14/10/2020,sintomatici,585
233,15/10/2020,sintomatici,618
234,16/10/2020,sintomatici,662
235,17/10/2020,sintomatici,765
236,18/10/2020,sintomatici,833
237,19/10/2020,sintomatici,886
238,20/10/2020,sintomatici,924
239,21/10/2020,sintomatici,933
240,22/10/2020,sintomatici,1006
241,23/10/2020,sintomatici,1089
242,24/10/2020,sintomatici,1006
243,25/10/2020,sintomatici,1159
244,26/10/2020,sintomatici,1230
245,27/10/2020,sintomatici,1329
246,28/10/2020,sintomatici,1294
247,25/02/2020,asintomatici,0
248,26/02/2020,asintomatici,0
249,27/02/2020,asintomatici,0
250,28/02/2020,asintomatici,0
251,29/02/2020,asintomatici,0
252,01/03/2020,asintomatici,0
253,02/03/2020,asintomatici,0
254,03/03/2020,asintomatici,0
255,04/03/2020,asintomatici,0
256,05/03/2020,asintomatici,643
257,06/03/2020,asintomatici,902
258,07/03/2020,asintomatici,1119
259,08/03/2020,asintomatici,1422
260,09/03/2020,asintomatici,1422
261,10/03/2020,asintomatici,1725
262,11/03/2020,asintomatici,1645
263,12/03/2020,asintomatici,1930
264,13/03/2020,asintomatici,2308
265,14/03/2020,asintomatici,2545
266,15/03/2020,asintomatici,3020
267,16/03/2020,asintomatici,3236
268,17/03/2020,asintomatici,3333
269,18/03/2020,asintomatici,3760
270,19/03/2020,asintomatici,4070
271,20/03/2020,asintomatici,4165
272,21/03/2020,asintomatici,4524
273,22/03/2020,asintomatici,4058
274,23/03/2020,asintomatici,4058
275,24/03/2020,asintomatici,4239
276,25/03/2020,asintomatici,4533
277,26/03/2020,asintomatici,4698
278,27/03/2020,asintomatici,4806
