;data;tipo_di_ricovero;totali_tipi_ricovero
173;16/08/2020;intensiva;1
174;17/08/2020;intensiva;1
175;18/08/2020;intensiva;1
176;19/08/2020;intensiva;1
177;20/08/2020;intensiva;1
178;21/08/2020;intensiva;1
179;22/08/2020;intensiva;1
180;23/08/2020;intensiva;1
181;24/08/2020;intensiva;0
182;25/08/2020;intensiva;0
183;26/08/2020;intensiva;0
184;27/08/2020;intensiva;0
185;28/08/2020;intensiva;1
186;29/08/2020;intensiva;1
187;30/08/2020;intensiva;1
188;31/08/2020;intensiva;1
189;01/09/2020;intensiva;1
190;02/09/2020;intensiva;1
191;03/09/2020;intensiva;1
192;04/09/2020;intensiva;1
193;05/09/2020;intensiva;1
194;06/09/2020;intensiva;1
195;07/09/2020;intensiva;1
196;08/09/2020;intensiva;1
197;09/09/2020;intensiva;2
198;10/09/2020;intensiva;2
199;11/09/2020;intensiva;2
200;12/09/2020;intensiva;2
201;13/09/2020;intensiva;2
202;14/09/2020;intensiva;2
203;15/09/2020;intensiva;2
204;16/09/2020;intensiva;2
205;17/09/2020;intensiva;2
206;18/09/2020;intensiva;2
207;19/09/2020;intensiva;2
208;20/09/2020;intensiva;2
209;21/09/2020;intensiva;2
210;22/09/2020;intensiva;3
211;23/09/2020;intensiva;4
212;24/09/2020;intensiva;3
213;25/09/2020;intensiva;2
214;26/09/2020;intensiva;2
215;27/09/2020;intensiva;2
216;28/09/2020;intensiva;2
217;29/09/2020;intensiva;3
218;30/09/2020;intensiva;2
219;01/10/2020;intensiva;6
220;02/10/2020;intensiva;4
221;03/10/2020;intensiva;6
222;04/10/2020;intensiva;6
223;05/10/2020;intensiva;6
224;06/10/2020;intensiva;6
225;07/10/2020;intensiva;5
226;08/10/2020;intensiva;5
227;09/10/2020;intensiva;3
228;10/10/2020;intensiva;4
229;11/10/2020;intensiva;6
230;12/10/2020;intensiva;5
231;13/10/2020;intensiva;6
232;14/10/2020;intensiva;8
233;15/10/2020;intensiva;9
234;16/10/2020;intensiva;10
235;17/10/2020;intensiva;10
236;18/10/2020;intensiva;13
237;19/10/2020;intensiva;16
238;20/10/2020;intensiva;19
239;21/10/2020;intensiva;19
240;22/10/2020;intensiva;19
241;23/10/2020;intensiva;22
242;24/10/2020;intensiva;23
243;25/10/2020;intensiva;26
244;26/10/2020;intensiva;26
245;27/10/2020;intensiva;28
246;28/10/2020;intensiva;32
247;25/02/2020;semi-intensiva;0
248;26/02/2020;semi-intensiva;0
249;27/02/2020;semi-intensiva;0
250;28/02/2020;semi-intensiva;0
251;29/02/2020;semi-intensiva;0
252;01/03/2020;semi-intensiva;0
253;02/03/2020;semi-intensiva;0
254;03/03/2020;semi-intensiva;0
255;04/03/2020;semi-intensiva;0
256;05/03/2020;semi-intensiva;0
257;06/03/2020;semi-intensiva;0
258;07/03/2020;semi-intensiva;0
259;08/03/2020;semi-intensiva;0
260;09/03/2020;semi-intensiva;0
261;10/03/2020;semi-intensiva;0
262;11/03/2020;semi-intensiva;0
263;12/03/2020;semi-intensiva;0
264;13/03/2020;semi-intensiva;0
265;14/03/2020;semi-intensiva;0
266;15/03/2020;semi-intensiva;0
267;16/03/2020;semi-intensiva;0
268;17/03/2020;semi-intensiva;144
269;18/03/2020;semi-intensiva;145
270;19/03/2020;semi-intensiva;140
271;20/03/2020;semi-intensiva;154
272;21/03/2020;semi-intensiva;128
273;22/03/2020;semi-intensiva;122
274;23/03/2020;semi-intensiva;128
275;24/03/2020;semi-intensiva;118
276;25/03/2020;semi-intensiva;179
277;26/03/2020;semi-intensiva;261
278;27/03/2020;semi-intensiva;257
279;28/03/2020;semi-intensiva;270
280;29/03/2020;semi-intensiva;311
281;30/03/2020;semi-intensiva;315
282;31/03/2020;semi-intensiva;299
283;01/04/2020;semi-intensiva;296
284;02/04/2020;semi-intensiva;305
285;03/04/2020;semi-intensiva;295
286;04/04/2020;semi-intensiva;291
287;05/04/2020;semi-intensiva;279
288;06/04/2020;semi-intensiva;286
289;07/04/2020;semi-intensiva;277
290;08/04/2020;semi-intensiva;275
291;09/04/2020;semi-intensiva;271
292;10/04/2020;semi-intensiva;264
293;11/04/2020;semi-intensiva;255
294;12/04/2020;semi-intensiva;249
295;13/04/2020;semi-intensiva;241
296;14/04/2020;semi-intensiva;244
297;15/04/2020;semi-intensiva;234
298;16/04/2020;semi-intensiva;214
299;17/04/2020;semi-intensiva;205
300;18/04/2020;semi-intensiva;202
301;19/04/2020;semi-intensiva;196
302;20/04/2020;semi-intensiva;188
303;21/04/2020;semi-intensiva;181
304;22/04/2020;semi-intensiva;169
305;23/04/2020;semi-intensiva;165
306;24/04/2020;semi-intensiva;165
307;25/04/2020;semi-intensiva;151
308;26/04/2020;semi-intensiva;147
309;27/04/2020;semi-intensiva;151
310;28/04/2020;semi-intensiva;147
311;29/04/2020;semi-intensiva;134
312;30/04/2020;semi-intensiva;119
313;01/05/2020;semi-intensiva;119
314;02/05/2020;semi-intensiva;117
315;03/05/2020;semi-intensiva;114
316;04/05/2020;semi-intensiva;112
317;05/05/2020;semi-intensiva;114
318;06/05/2020;semi-intensiva;95
319;07/05/2020;semi-intensiva;90
320;08/05/2020;semi-intensiva;67
321;09/05/2020;semi-intensiva;65
322;10/05/2020;semi-intensiva;80
323;11/05/2020;semi-intensiva;77
324;12/05/2020;semi-intensiva;73
325;13/05/2020;semi-intensiva;60
326;14/05/2020;semi-intensiva;56
327;15/05/2020;semi-intensiva;54
